bank_txn_id,credit_date,amount,reference,bank_account
BTXN-30000,2026-07-04,42296,BANK-REF-0,HDFC-8821
BTXN-30001,2026-07-05,49335,BANK-REF-1,HDFC-8821
BTXN-30002,2026-07-06,88667,BANK-REF-2,HDFC-8821
BTXN-30003,2026-07-07,70857,BANK-REF-3,HDFC-8821
BTXN-30004,2026-07-08,37127,BANK-REF-4,HDFC-8821
BTXN-30005,2026-07-09,106157,BANK-REF-5,HDFC-8821
BTXN-30006,2026-07-10,61425,BANK-REF-6,HDFC-8821
BTXN-30007,2026-07-11,45873,BANK-REF-7,HDFC-8821
BTXN-30008,2026-07-12,70860,BANK-REF-8,HDFC-8821
BTXN-30009,2026-07-13,72208,BANK-REF-9,HDFC-8821
BTXN-30010,2026-07-14,93685,BANK-REF-10,HDFC-8821
BTXN-30011,2026-07-15,37408,BANK-REF-11,HDFC-8821
BTXN-30012,2026-07-16,71815,BANK-REF-12,HDFC-8821
BTXN-30013,2026-07-17,57648,BANK-REF-13,HDFC-8821
BTXN-30014,2026-07-18,90178,BANK-REF-14,HDFC-8821
BTXN-30015,2026-07-19,51259,BANK-REF-15,HDFC-8821
BTXN-30016,2026-07-20,147826,BANK-REF-16,HDFC-8821
BTXN-30017,2026-07-21,49478,BANK-REF-17,HDFC-8821
BTXN-30018,2026-07-22,37430,BANK-REF-18,HDFC-8821
BTXN-30019,2026-07-23,69361,BANK-REF-19,HDFC-8821
BTXN-30020,2026-07-24,64792,BANK-REF-20,HDFC-8821
BTXN-30021,2026-07-25,106975,BANK-REF-21,HDFC-8821
BTXN-30022,2026-07-26,77713,BANK-REF-22,HDFC-8821
BTXN-30023,2026-07-27,135252,BANK-REF-23,HDFC-8821
BTXN-30024,2026-07-28,58989,BANK-REF-24,HDFC-8821
BTXN-30025,2026-07-29,111684,BANK-REF-25,HDFC-8821
BTXN-30026,2026-07-30,-2980,BANK-REF-26,HDFC-8821
BTXN-30027,2026-07-31,6583,BANK-REF-27,HDFC-8821
