gateway_txn_id,order_id,transaction_date,captured_amount,gateway,status,reference
GTW-10000,ORD-1000,2026-07-22T07:00:00Z,7562,RAZORPAY,SUCCESS,REF-ORD-1000
GTW-10001,ORD-1001,2026-07-14T12:00:00Z,8151,RAZORPAY,SUCCESS,REF-ORD-1001
GTW-10002,ORD-1002,2026-07-02T11:00:00Z,11532,RAZORPAY,SUCCESS,REF-ORD-1002
GTW-10003,ORD-1003,2026-07-04T12:00:00Z,1493,RAZORPAY,SUCCESS,REF-ORD-1003
GTW-10004,ORD-1004,2026-07-11T02:00:00Z,13616,RAZORPAY,SUCCESS,REF-ORD-1004
GTW-10005,ORD-1005,2026-07-08T09:00:00Z,3639,RAZORPAY,SUCCESS,REF-ORD-1005
GTW-10006,ORD-1006,2026-07-15T03:00:00Z,2796,RAZORPAY,SUCCESS,REF-ORD-1006
GTW-10007,ORD-1007,2026-07-09T02:00:00Z,8079,RAZORPAY,SUCCESS,REF-ORD-1007
GTW-10008,ORD-1008,2026-07-26T09:00:00Z,14612,RAZORPAY,SUCCESS,REF-ORD-1008
GTW-10009,ORD-1009,2026-07-04T09:00:00Z,1328,RAZORPAY,SUCCESS,REF-ORD-1009
GTW-10010,ORD-1010,2026-07-01T04:00:00Z,2028,RAZORPAY,SUCCESS,REF-ORD-1010
GTW-10011,ORD-1011,2026-07-06T08:00:00Z,7158,RAZORPAY,SUCCESS,REF-ORD-1011
GTW-10012,ORD-1012,2026-07-07T01:00:00Z,14666,RAZORPAY,SUCCESS,REF-ORD-1012
GTW-10013,ORD-1013,2026-07-13T05:00:00Z,535,RAZORPAY,SUCCESS,REF-ORD-1013
GTW-10014,ORD-1014,2026-07-26T05:00:00Z,13363,RAZORPAY,SUCCESS,REF-ORD-1014
GTW-10015,ORD-1015,2026-07-23T09:00:00Z,12468,RAZORPAY,SUCCESS,REF-ORD-1015
GTW-10016,ORD-1016,2026-07-23T04:00:00Z,8473,RAZORPAY,SUCCESS,REF-ORD-1016
GTW-10017,ORD-1017,2026-07-10T10:00:00Z,4066,RAZORPAY,SUCCESS,REF-ORD-1017
GTW-10018,ORD-1018,2026-07-24T12:00:00Z,9383,RAZORPAY,SUCCESS,REF-ORD-1018
GTW-10019,ORD-1019,2026-07-11T10:00:00Z,1436,RAZORPAY,SUCCESS,REF-ORD-1019
GTW-10020,ORD-1020,2026-07-16T09:00:00Z,8738,RAZORPAY,SUCCESS,REF-ORD-1020
GTW-10021,ORD-1021,2026-07-06T02:00:00Z,1431,RAZORPAY,SUCCESS,REF-ORD-1021
GTW-10022,ORD-1022,2026-07-06T02:00:00Z,1622,RAZORPAY,SUCCESS,REF-ORD-1022
GTW-10023,ORD-1023,2026-07-22T07:00:00Z,14620,RAZORPAY,SUCCESS,REF-ORD-1023
GTW-10024,ORD-1024,2026-07-04T10:00:00Z,9833,RAZORPAY,SUCCESS,REF-ORD-1024
GTW-10025,ORD-1025,2026-07-20T02:00:00Z,1151,RAZORPAY,SUCCESS,REF-ORD-1025
GTW-10026,ORD-1026,2026-07-14T10:00:00Z,11270,RAZORPAY,SUCCESS,REF-ORD-1026
GTW-10027,ORD-1027,2026-07-11T11:00:00Z,4772,RAZORPAY,SUCCESS,REF-ORD-1027
GTW-10028,ORD-1028,2026-07-23T05:00:00Z,5647,RAZORPAY,SUCCESS,REF-ORD-1028
GTW-10029,ORD-1029,2026-07-13T11:00:00Z,2644,RAZORPAY,SUCCESS,REF-ORD-1029
GTW-10030,ORD-1030,2026-07-10T02:00:00Z,7991,RAZORPAY,SUCCESS,REF-ORD-1030
GTW-10031,ORD-1031,2026-07-01T10:00:00Z,8008,RAZORPAY,SUCCESS,REF-ORD-1031
GTW-10032,ORD-1032,2026-07-04T04:00:00Z,1700,RAZORPAY,SUCCESS,REF-ORD-1032
GTW-10033,ORD-1033,2026-07-17T06:00:00Z,4845,RAZORPAY,SUCCESS,REF-ORD-1033
GTW-10034,ORD-1034,2026-07-03T06:00:00Z,14905,RAZORPAY,SUCCESS,REF-ORD-1034
GTW-10035,ORD-1035,2026-07-10T09:00:00Z,3084,RAZORPAY,SUCCESS,REF-ORD-1035
GTW-10036,ORD-1036,2026-07-23T11:00:00Z,5456,RAZORPAY,SUCCESS,REF-ORD-1036
GTW-10037,ORD-1037,2026-07-17T09:00:00Z,628,RAZORPAY,SUCCESS,REF-ORD-1037
GTW-10038,ORD-1038,2026-07-10T03:00:00Z,11368,RAZORPAY,SUCCESS,REF-ORD-1038
GTW-10039,ORD-1039,2026-07-09T12:00:00Z,2391,RAZORPAY,SUCCESS,REF-ORD-1039
GTW-10040,ORD-1040,2026-07-18T05:00:00Z,3046,RAZORPAY,SUCCESS,REF-ORD-1040
GTW-10041,ORD-1041,2026-07-20T06:00:00Z,3950,RAZORPAY,SUCCESS,REF-ORD-1041
GTW-10042,ORD-1042,2026-07-22T05:00:00Z,10891,RAZORPAY,SUCCESS,REF-ORD-1042
GTW-10043,ORD-1043,2026-07-17T01:00:00Z,8504,RAZORPAY,SUCCESS,REF-ORD-1043
GTW-10044,ORD-1044,2026-07-03T05:00:00Z,10892,RAZORPAY,SUCCESS,REF-ORD-1044
GTW-10045,ORD-1045,2026-07-02T03:00:00Z,558,RAZORPAY,SUCCESS,REF-ORD-1045
GTW-10046,ORD-1046,2026-07-21T12:00:00Z,4791,RAZORPAY,SUCCESS,REF-ORD-1046
GTW-10047,ORD-1047,2026-07-15T07:00:00Z,9538,RAZORPAY,SUCCESS,REF-ORD-1047
GTW-10048,ORD-1048,2026-07-18T02:00:00Z,658,RAZORPAY,SUCCESS,REF-ORD-1048
GTW-10049,ORD-1049,2026-07-23T01:00:00Z,2942,RAZORPAY,SUCCESS,REF-ORD-1049
GTW-10050,ORD-1050,2026-07-12T03:00:00Z,10043,RAZORPAY,SUCCESS,REF-ORD-1050
GTW-10051,ORD-1051,2026-07-05T06:00:00Z,1185,RAZORPAY,SUCCESS,REF-ORD-1051
GTW-10052,ORD-1052,2026-07-26T06:00:00Z,14601,RAZORPAY,SUCCESS,REF-ORD-1052
GTW-10053,ORD-1053,2026-07-07T11:00:00Z,11674,RAZORPAY,SUCCESS,REF-ORD-1053
GTW-10054,ORD-1054,2026-07-04T09:00:00Z,6294,RAZORPAY,SUCCESS,REF-ORD-1054
GTW-10055,ORD-1055,2026-07-14T03:00:00Z,10668,RAZORPAY,SUCCESS,REF-ORD-1055
GTW-10057,ORD-1057,2026-07-26T07:00:00Z,13783,RAZORPAY,SUCCESS,REF-ORD-1057
GTW-10058,ORD-1058,2026-07-06T07:00:00Z,12567,RAZORPAY,SUCCESS,REF-ORD-1058
GTW-10059,ORD-1059,2026-07-24T05:00:00Z,13783,RAZORPAY,SUCCESS,REF-ORD-1059
GTW-10060,ORD-1060,2026-07-06T02:00:00Z,13400,RAZORPAY,SUCCESS,REF-ORD-1060
GTW-10061,ORD-1061,2026-07-13T08:00:00Z,14789,RAZORPAY,SUCCESS,REF-ORD-1061
GTW-10062,ORD-1062,2026-07-08T08:00:00Z,3769,RAZORPAY,SUCCESS,REF-ORD-1062
GTW-10063,ORD-1063,2026-07-12T04:00:00Z,5500,RAZORPAY,SUCCESS,REF-ORD-1063
GTW-10064,ORD-1064,2026-07-08T04:00:00Z,887,RAZORPAY,SUCCESS,REF-ORD-1064
GTW-10065,ORD-1065,2026-07-13T02:00:00Z,5878,RAZORPAY,SUCCESS,REF-ORD-1065
GTW-10066,ORD-1066,2026-07-25T11:00:00Z,5073,RAZORPAY,SUCCESS,REF-ORD-1066
GTW-10067,ORD-1067,2026-07-17T09:00:00Z,7048,RAZORPAY,SUCCESS,REF-ORD-1067
GTW-10068,ORD-1068,2026-07-11T05:00:00Z,952,RAZORPAY,SUCCESS,REF-ORD-1068
GTW-10069,ORD-1069,2026-07-06T01:00:00Z,10012,RAZORPAY,SUCCESS,REF-ORD-1069
GTW-10070,ORD-1070,2026-07-04T06:00:00Z,10274,RAZORPAY,SUCCESS,REF-ORD-1070
GTW-10071,ORD-1071,2026-07-24T07:00:00Z,13384,RAZORPAY,SUCCESS,REF-ORD-1071
GTW-10072,ORD-1072,2026-07-20T07:00:00Z,8879,RAZORPAY,SUCCESS,REF-ORD-1072
GTW-10073,ORD-1073,2026-07-19T01:00:00Z,3614,RAZORPAY,SUCCESS,REF-ORD-1073
GTW-10074,ORD-1074,2026-07-23T09:00:00Z,7644,RAZORPAY,SUCCESS,REF-ORD-1074
GTW-10075,ORD-1075,2026-07-26T12:00:00Z,9321,RAZORPAY,SUCCESS,REF-ORD-1075
GTW-10076,ORD-1076,2026-07-24T06:00:00Z,11487,RAZORPAY,SUCCESS,REF-ORD-1076
GTW-10077,ORD-1077,2026-07-14T06:00:00Z,1646,RAZORPAY,SUCCESS,REF-ORD-1077
GTW-10078,ORD-1078,2026-07-20T02:00:00Z,5643,RAZORPAY,SUCCESS,REF-ORD-1078
GTW-10079,ORD-1079,2026-07-24T05:00:00Z,5420,RAZORPAY,SUCCESS,REF-ORD-1079
GTW-10080,ORD-1080,2026-07-22T07:00:00Z,7191,RAZORPAY,SUCCESS,REF-ORD-1080
GTW-10081,ORD-1081,2026-07-23T03:00:00Z,5344,RAZORPAY,SUCCESS,REF-ORD-1081
GTW-10082,ORD-1082,2026-07-14T11:00:00Z,11394,RAZORPAY,SUCCESS,REF-ORD-1082
GTW-10083,ORD-1083,2026-07-24T10:00:00Z,3351,RAZORPAY,SUCCESS,REF-ORD-1083
GTW-10084,ORD-1084,2026-07-13T01:00:00Z,9477,RAZORPAY,SUCCESS,REF-ORD-1084
GTW-10085,ORD-1085,2026-07-10T07:00:00Z,5200,RAZORPAY,SUCCESS,REF-ORD-1085
GTW-10086,ORD-1086,2026-07-26T11:00:00Z,10002,RAZORPAY,SUCCESS,REF-ORD-1086
GTW-10087,ORD-1087,2026-07-11T08:00:00Z,8118,RAZORPAY,SUCCESS,REF-ORD-1087
GTW-10088,ORD-1088,2026-07-22T08:00:00Z,4001,RAZORPAY,SUCCESS,REF-ORD-1088
GTW-10089,ORD-1089,2026-07-26T03:00:00Z,13542,RAZORPAY,SUCCESS,REF-ORD-1089
GTW-10090,ORD-1090,2026-07-22T09:00:00Z,1889,RAZORPAY,SUCCESS,REF-ORD-1090
GTW-10091,ORD-1091,2026-07-22T06:00:00Z,10870,RAZORPAY,SUCCESS,REF-ORD-1091
GTW-10092,ORD-1092,2026-07-03T04:00:00Z,13909,RAZORPAY,SUCCESS,REF-ORD-1092
GTW-10093,ORD-1093,2026-07-22T04:00:00Z,5585,RAZORPAY,SUCCESS,REF-ORD-1093
GTW-10094,ORD-1094,2026-07-05T04:00:00Z,900,RAZORPAY,SUCCESS,REF-ORD-1094
GTW-10095,ORD-1095,2026-07-16T02:00:00Z,10515,RAZORPAY,SUCCESS,REF-ORD-1095
GTW-10096,ORD-1096,2026-07-15T10:00:00Z,7290,RAZORPAY,SUCCESS,REF-ORD-1096
GTW-10097,ORD-1097,2026-07-07T07:00:00Z,12269,RAZORPAY,SUCCESS,REF-ORD-1097
GTW-10098,ORD-1098,2026-07-16T03:00:00Z,7047,RAZORPAY,SUCCESS,REF-ORD-1098
GTW-10099,ORD-1099,2026-07-21T02:00:00Z,11766,RAZORPAY,SUCCESS,REF-ORD-1099
GTW-10100,ORD-1100,2026-07-25T03:00:00Z,7465,RAZORPAY,SUCCESS,REF-ORD-1100
GTW-10101,ORD-1101,2026-07-26T08:00:00Z,11901,RAZORPAY,SUCCESS,REF-ORD-1101
GTW-10102,ORD-1102,2026-07-02T02:00:00Z,9632,RAZORPAY,SUCCESS,REF-ORD-1102
GTW-10103,ORD-1103,2026-07-15T08:00:00Z,2684,RAZORPAY,SUCCESS,REF-ORD-1103
GTW-10104,ORD-1104,2026-07-22T10:00:00Z,9202,RAZORPAY,SUCCESS,REF-ORD-1104
GTW-10105,ORD-1105,2026-07-11T10:00:00Z,12874,RAZORPAY,SUCCESS,REF-ORD-1105
GTW-10106,ORD-1106,2026-07-17T09:00:00Z,7491,RAZORPAY,SUCCESS,REF-ORD-1106
GTW-10107,ORD-1107,2026-07-06T08:00:00Z,12684,RAZORPAY,SUCCESS,REF-ORD-1107
GTW-10108,ORD-1108,2026-07-15T04:00:00Z,4746,RAZORPAY,SUCCESS,REF-ORD-1108
GTW-10109,ORD-1109,2026-07-21T09:00:00Z,5043,RAZORPAY,SUCCESS,REF-ORD-1109
GTW-10110,ORD-1110,2026-07-21T08:00:00Z,4419,RAZORPAY,SUCCESS,REF-ORD-1110
GTW-10111,ORD-1111,2026-07-03T04:00:00Z,12190,RAZORPAY,SUCCESS,REF-ORD-1111
