order_id,order_date,customer_id,gross_amount,currency,status
ORD-1000,2026-07-22T00:00:00Z,CUST-462,7562,INR,COMPLETED
ORD-1001,2026-07-14T00:00:00Z,CUST-984,8151,INR,COMPLETED
ORD-1002,2026-07-02T00:00:00Z,CUST-769,11532,INR,COMPLETED
ORD-1003,2026-07-04T00:00:00Z,CUST-512,1493,INR,COMPLETED
ORD-1004,2026-07-11T00:00:00Z,CUST-982,13616,INR,COMPLETED
ORD-1005,2026-07-08T00:00:00Z,CUST-294,3639,INR,COMPLETED
ORD-1006,2026-07-15T00:00:00Z,CUST-532,2796,INR,COMPLETED
ORD-1007,2026-07-09T00:00:00Z,CUST-355,8079,INR,COMPLETED
ORD-1008,2026-07-26T00:00:00Z,CUST-976,14612,INR,COMPLETED
ORD-1009,2026-07-04T00:00:00Z,CUST-767,1328,INR,COMPLETED
ORD-1010,2026-07-01T00:00:00Z,CUST-871,2028,INR,COMPLETED
ORD-1011,2026-07-06T00:00:00Z,CUST-597,7158,INR,COMPLETED
ORD-1012,2026-07-07T00:00:00Z,CUST-510,14666,INR,COMPLETED
ORD-1013,2026-07-13T00:00:00Z,CUST-499,535,INR,COMPLETED
ORD-1014,2026-07-26T00:00:00Z,CUST-565,13363,INR,COMPLETED
ORD-1015,2026-07-23T00:00:00Z,CUST-902,12468,INR,COMPLETED
ORD-1016,2026-07-23T00:00:00Z,CUST-258,8473,INR,COMPLETED
ORD-1017,2026-07-10T00:00:00Z,CUST-159,4066,INR,COMPLETED
ORD-1018,2026-07-24T00:00:00Z,CUST-162,9383,INR,COMPLETED
ORD-1019,2026-07-11T00:00:00Z,CUST-151,1436,INR,REFUNDED
ORD-1020,2026-07-16T00:00:00Z,CUST-973,8738,INR,REFUNDED
ORD-1021,2026-07-06T00:00:00Z,CUST-620,1431,INR,REFUNDED
ORD-1022,2026-07-06T00:00:00Z,CUST-709,1622,INR,COMPLETED
ORD-1023,2026-07-22T00:00:00Z,CUST-340,14620,INR,COMPLETED
ORD-1024,2026-07-04T00:00:00Z,CUST-352,9833,INR,COMPLETED
ORD-1025,2026-07-20T00:00:00Z,CUST-734,1151,INR,REFUNDED
ORD-1026,2026-07-14T00:00:00Z,CUST-697,11270,INR,COMPLETED
ORD-1027,2026-07-11T00:00:00Z,CUST-309,4772,INR,COMPLETED
ORD-1028,2026-07-23T00:00:00Z,CUST-344,5647,INR,REFUNDED
ORD-1029,2026-07-13T00:00:00Z,CUST-787,2644,INR,COMPLETED
ORD-1030,2026-07-10T00:00:00Z,CUST-423,7991,INR,COMPLETED
ORD-1031,2026-07-01T00:00:00Z,CUST-736,8008,INR,COMPLETED
ORD-1032,2026-07-04T00:00:00Z,CUST-650,1700,INR,COMPLETED
ORD-1033,2026-07-17T00:00:00Z,CUST-235,4845,INR,COMPLETED
ORD-1034,2026-07-03T00:00:00Z,CUST-350,14905,INR,COMPLETED
ORD-1035,2026-07-10T00:00:00Z,CUST-548,3084,INR,COMPLETED
ORD-1036,2026-07-23T00:00:00Z,CUST-726,5456,INR,COMPLETED
ORD-1037,2026-07-17T00:00:00Z,CUST-783,628,INR,COMPLETED
ORD-1038,2026-07-10T00:00:00Z,CUST-206,11368,INR,COMPLETED
ORD-1039,2026-07-09T00:00:00Z,CUST-209,2391,INR,COMPLETED
ORD-1040,2026-07-18T00:00:00Z,CUST-378,3046,INR,COMPLETED
ORD-1041,2026-07-20T00:00:00Z,CUST-834,3950,INR,COMPLETED
ORD-1042,2026-07-22T00:00:00Z,CUST-973,10891,INR,COMPLETED
ORD-1043,2026-07-17T00:00:00Z,CUST-357,8504,INR,REFUNDED
ORD-1044,2026-07-03T00:00:00Z,CUST-533,10892,INR,COMPLETED
ORD-1045,2026-07-02T00:00:00Z,CUST-441,558,INR,COMPLETED
ORD-1046,2026-07-21T00:00:00Z,CUST-265,4791,INR,COMPLETED
ORD-1047,2026-07-15T00:00:00Z,CUST-822,9538,INR,COMPLETED
ORD-1048,2026-07-18T00:00:00Z,CUST-214,658,INR,COMPLETED
ORD-1049,2026-07-23T00:00:00Z,CUST-658,2942,INR,COMPLETED
ORD-1050,2026-07-12T00:00:00Z,CUST-665,10043,INR,COMPLETED
ORD-1051,2026-07-05T00:00:00Z,CUST-415,1185,INR,COMPLETED
ORD-1052,2026-07-26T00:00:00Z,CUST-140,14601,INR,COMPLETED
ORD-1053,2026-07-07T00:00:00Z,CUST-355,11674,INR,COMPLETED
ORD-1054,2026-07-04T00:00:00Z,CUST-898,6294,INR,COMPLETED
ORD-1055,2026-07-14T00:00:00Z,CUST-867,10668,INR,COMPLETED
ORD-1056,2026-07-08T00:00:00Z,CUST-266,14665,INR,COMPLETED
ORD-1057,2026-07-26T00:00:00Z,CUST-281,13783,INR,COMPLETED
ORD-1058,2026-07-06T00:00:00Z,CUST-440,12567,INR,COMPLETED
ORD-1059,2026-07-24T00:00:00Z,CUST-354,13783,INR,COMPLETED
ORD-1060,2026-07-06T00:00:00Z,CUST-818,13400,INR,COMPLETED
ORD-1061,2026-07-13T00:00:00Z,CUST-139,14789,INR,COMPLETED
ORD-1062,2026-07-08T00:00:00Z,CUST-936,3769,INR,COMPLETED
ORD-1063,2026-07-12T00:00:00Z,CUST-940,5500,INR,COMPLETED
ORD-1064,2026-07-08T00:00:00Z,CUST-775,887,INR,COMPLETED
ORD-1065,2026-07-13T00:00:00Z,CUST-385,5878,INR,COMPLETED
ORD-1066,2026-07-25T00:00:00Z,CUST-459,5073,INR,COMPLETED
ORD-1067,2026-07-17T00:00:00Z,CUST-795,7048,INR,COMPLETED
ORD-1068,2026-07-11T00:00:00Z,CUST-218,952,INR,COMPLETED
