settlement_id,order_id,settlement_date,gross_amount,fee,tax,refund,net_amount,marketplace,reference,rate_version
SET-20000,ORD-1000,2026-07-24,7562,264,48,0,7250,RAZORPAY,REF-ORD-1000,v2
SET-20001,ORD-1001,2026-07-16,8151,279,50,0,7822,RAZORPAY,REF-ORD-1001,v2
SET-20002,ORD-1002,2026-07-04,11532,363,65,0,11104,RAZORPAY,REF-ORD-1002,v2
SET-20003,ORD-1003,2026-07-06,1493,112,20,0,1361,RAZORPAY,REF-ORD-1003,v2
SET-20004,ORD-1004,2026-07-13,13616,415,75,0,13126,RAZORPAY,REF-ORD-1004,v2
SET-20005,ORD-1005,2026-07-10,3639,166,30,0,3443,RAZORPAY,REF-ORD-1005,v2
SET-20006,ORD-1006,2026-07-17,2796,145,26,0,2625,RAZORPAY,REF-ORD-1006,v2
SET-20007,ORD-1007,2026-07-11,8079,222,40,0,7817,RAZORPAY,REF-ORD-1007,v1
SET-20008,ORD-1008,2026-07-17,13738,418,75,0,13245,RAZORPAY,REF-ORD-1008,v2
SET-20009,ORD-1009,2026-07-06,1328,108,19,0,1201,RAZORPAY,REF-ORD-1009,v2
SET-20010,ORD-1010,2026-07-03,2028,126,23,0,1879,RAZORPAY,REF-ORD-1010,v2
SET-20011,ORD-1011,2026-07-08,7158,254,46,0,6858,RAZORPAY,REF-ORD-1011,v2
SET-20012,ORD-1012,2026-07-09,14666,442,80,0,14144,RAZORPAY,REF-ORD-1012,v2
SET-20013,ORD-1013,2026-07-08,6709,243,44,0,6422,RAZORPAY,REF-ORD-1013,v2
SET-20014,ORD-1014,2026-07-11,13346,409,74,0,12863,RAZORPAY,REF-ORD-1014,v2
SET-20015-A,ORD-1015,2026-07-12,5201,182,32,0,4987,RAZORPAY,REF-ORD-1015,v2
SET-20015-B,ORD-1015,2026-07-14,2229,79,15,0,2135,RAZORPAY,REF-ORD-1015,v2
SET-20016,ORD-1016,2026-07-24,12270,382,69,0,11819,RAZORPAY,REF-ORD-1016,v2
SET-20017,ORD-1017,2026-07-09,5361,209,38,0,5114,RAZORPAY,REF-ORD-1017,v2
SET-20018,ORD-1018,2026-07-21,12554,389,70,0,12095,RAZORPAY,REF-ORD-1018,v2
SET-20019,ORD-1019,2026-07-26,5638,173,31,0,5434,RAZORPAY,REF-ORD-1019,v1
SET-20020-A,ORD-1020,2026-07-21,4155,141,25,0,3989,RAZORPAY,REF-ORD-1020,v2
SET-20020-B,ORD-1020,2026-07-23,4156,142,26,0,3988,RAZORPAY,REF-ORD-1020,v2
SET-20021,ORD-1021,2026-07-04,8820,236,42,0,8542,RAZORPAY,REF-ORD-1021,v1
SET-20022,ORD-1022,2026-07-05,10249,331,60,0,9858,RAZORPAY,REF-ORD-1022,v2
SET-20023,ORD-1023,2026-07-10,7115,253,46,0,6816,RAZORPAY,REF-ORD-1023,v2
SET-20024,ORD-1024,2026-07-10,9985,325,58,0,9602,RAZORPAY,REF-ORD-1024,v2
